From,To
206668_s_at,9522
209478_at,201254
214055_x_at,23215
216652_s_at,1810
211317_s_at,8837
204064_at,9984
218972_at,55761
220701_at,55451
212330_at,7027
206712_at,79774
204960_at,5790
202823_at,6921
206839_at,25770
209249_s_at,27069
211932_at,220988
211569_s_at,3033
214015_at,30837
217600_at,222663
209939_x_at,8837
212576_at,23295
33850_at,4134
219696_at,163486
210326_at,189
208511_at,26255
221140_s_at,29933
205366_s_at,3216
211638_at,28396
209306_s_at,23075
202893_at,10497
221579_s_at,100529239
220722_s_at,60482
33736_at,9399
203371_s_at,4709
221423_s_at,81555
212898_at,9675
211537_x_at,6885
212108_at,23197
222362_at,3268
203732_at,9325
219881_s_at,101928649
214408_s_at,10737
215744_at,2521
212077_at,800
213991_s_at,9957
203838_s_at,10188
211656_x_at,3119
212519_at,7324
204921_at,2622
204557_s_at,22873
221719_s_at,11178
204008_at,10126
210565_at,2642
220627_at,10047
205439_at,2953
213871_s_at,10591
200805_at,10960
201341_at,8507
204363_at,2152
207946_at,55534
219305_x_at,26232
206714_at,247
219501_at,55068
221766_s_at,55603
208622_s_at,7430
212445_s_at,23327
209706_at,4824
211780_x_at,1639
220606_s_at,56985
205704_s_at,23545
207524_at,102466616
212397_at,5962
202037_s_at,6422
219140_s_at,5950
208210_at,4142
218236_s_at,23683
214545_s_at,11212
210976_s_at,5213
208510_s_at,5468
211607_x_at,1956
209449_at,57819
202945_at,2356
217769_s_at,51371
213639_s_at,26048
203700_s_at,1734
200864_s_at,8766
203408_s_at,6304
220287_at,56999
209437_s_at,10418
216023_at,23030
219386_s_at,56833
215288_at,7221
210435_at,100506084
211784_s_at,6426
221418_s_at,10025
215326_at,10298
209779_at,84298
208165_s_at,10279
202642_s_at,8295
211558_s_at,1725
213816_s_at,4233
207329_at,4317
202327_s_at,101930075
203025_at,8260
206245_s_at,10625
203980_at,2167
212556_at,23513
202404_s_at,1278
207735_at,54941
209640_at,5371
205211_s_at,9610
215158_s_at,9191
210702_s_at,5740
212025_s_at,2314
219664_s_at,26063
200651_at,10399
213889_at,9487
201354_s_at,11176
222101_s_at,8642
208746_x_at,10632
208708_x_at,1983
218589_at,10161
222283_at,147657
217023_x_at,64499
204880_at,4255
220354_at,100289410
200881_s_at,3301
210263_at,3754
201195_s_at,8140
207740_s_at,23636
212916_at,23133
203578_s_at,9057
214009_at,10943
212340_at,286451
212184_s_at,23118
200614_at,1213
214541_s_at,9444
220736_at,80704
208636_at,87
200024_at,6193
221329_at,23538
210931_at,6049
210306_at,26013
209577_at,5833
210439_at,29851
202634_at,5440
214191_at,3382
207318_s_at,8621
213965_s_at,26038
202392_s_at,102465666
214161_at,734
201725_at,8872
207427_at,49
211574_s_at,4179
206104_at,3670
206081_at,9187
221389_at,30814
200961_at,22928
202499_s_at,6515
201577_at,4830
204516_at,6314
216149_at,147172
219001_s_at,79269
210057_at,101060386
208141_s_at,83475
214127_s_at,51593
206132_at,4163
216208_s_at,1388
207513_s_at,7743
202080_s_at,22906
201127_s_at,47
202990_at,5836
33579_i_at,8484
202223_at,3703
213354_s_at,2063
221940_at,27079
218188_s_at,26517
213323_s_at,23264
221298_s_at,9376
204178_s_at,10432
213240_s_at,3851
202676_x_at,10922
210002_at,2627
210735_s_at,771
217866_at,79869
221800_s_at,80233
217310_s_at,22887
221266_s_at,81501
202238_s_at,4837
214908_s_at,8295
219015_s_at,79868
212471_at,23080
202624_s_at,23523
213220_at,92482
215097_at,832
206255_at,640
214439_x_at,274
221195_at,51136
201625_s_at,3638
206885_x_at,2688
212838_at,23268
218205_s_at,2872
219294_at,55166
205967_at,121504
214070_s_at,23120
218914_at,51093
221682_s_at,56100
220967_s_at,79943
203226_s_at,6302
200903_s_at,191
205381_at,10234
201043_s_at,8125
212433_x_at,26784
219251_s_at,55112
210688_s_at,1374
207891_s_at,11219
209015_s_at,10049
200017_at,6233
209578_s_at,23275
209868_s_at,5937
219815_at,79690
208269_s_at,10863
200089_s_at,595097
204373_s_at,9857
200966_x_at,226
222263_at,79939
202159_at,2193
206969_at,100653049
204295_at,6834
217889_s_at,79901
207646_s_at,203611
212287_at,23512
205232_s_at,5051
201738_at,10289
207993_s_at,11261
202750_s_at,24144
207414_s_at,100507472
218491_s_at,29087
204998_s_at,22809
204886_at,10733
215234_at,1859
213251_at,8467
218502_s_at,7227
205328_at,9071
213012_at,4734
35820_at,2760
214325_at,2813
203553_s_at,11183
204492_at,9824
221269_s_at,83442
210927_x_at,10899
201403_s_at,4259
221539_at,1978
320_at,5190
213452_at,7738
208395_s_at,9875
213467_at,8153
217043_s_at,55669
216125_s_at,10048
219427_at,79633
205707_at,23765
218497_s_at,246243
215211_at,730092
212875_s_at,25966
219027_s_at,4649
208664_s_at,286495
210687_at,1374
210243_s_at,8703
218395_at,64431
204739_at,1060
206382_s_at,627
215044_s_at,10254
219638_at,26263
210819_x_at,1734
201222_s_at,5887
208110_x_at,81857
219260_s_at,23587
203225_s_at,55312
203091_at,8880
205196_s_at,1174
212843_at,4684
211631_x_at,2683
205117_at,2246
218582_at,54708
210867_at,4850
218407_x_at,29937
202453_s_at,2965
215655_at,2898
220511_s_at,10395
203514_at,4215
206622_at,7200
217877_s_at,60313
207608_x_at,1544
213327_s_at,219333
209094_at,23576
208275_x_at,8433
205590_at,10125
211635_x_at,28396
209344_at,7171
214932_at,57498
219584_at,51365
216489_at,101927086
207222_at,100652777
209612_s_at,125
216899_s_at,8935
210469_at,9231
222038_s_at,51096
201928_at,8502
216400_at,100510710
207467_x_at,831
206418_at,27035
213140_s_at,26039
200675_at,975
214149_s_at,8992
207130_at,23613
221785_at,58525
215841_at,2979
202114_at,6643
200791_s_at,8826
207699_at,85446
222155_s_at,79581
202394_s_at,55324
40446_at,5252
209191_at,84617
208244_at,651
209791_at,11240
204835_at,5422
203320_at,10019
215999_at,374286
218079_s_at,79893
210503_at,4110
208902_s_at,6234
208580_x_at,121504
202156_s_at,10659
218658_s_at,93973
206021_at,54581
213551_x_at,7703
200737_at,5230
204177_s_at,27252
212142_at,4173
219539_at,79833
206025_s_at,7130
203457_at,8417
203265_s_at,6416
204812_at,9183
205367_at,10603
58780_s_at,55701
204153_s_at,4242
216967_at,2596
210196_s_at,5669
201686_x_at,8539
212276_at,23175
212598_at,23001
222112_at,58513
221902_at,387509
211464_x_at,839
216190_x_at,3688
200738_s_at,5230
211678_s_at,55905
209090_s_at,51100
206326_at,2922
216750_at,323
220376_at,64922
210614_at,7274
211005_at,27040
212229_s_at,23014
210019_at,810
201136_at,5355
220046_s_at,57018
221504_s_at,51606
205339_at,6491
209079_x_at,26025
219612_s_at,2266
212456_at,23277
214820_at,54014
208798_x_at,23015
212119_at,23433
205978_at,9365
204062_s_at,9706
205421_at,6581
213290_at,1292
201235_s_at,7832
214484_s_at,10280
212434_at,80273
214831_at,2005
212534_at,7572
218490_s_at,55900
213772_s_at,23062
214276_at,11278
203747_at,360
202331_at,593
218370_s_at,64766
220555_s_at,79955
209815_at,5727
216994_s_at,860
207601_at,27284
209479_at,25901
2028_s_at,1869
217564_s_at,1373
221068_at,25959
204313_s_at,1385
219438_at,79570
205098_at,1230
214984_at,100271836
218710_at,55622
201327_s_at,908
209940_at,10039
213832_at,3752
218883_s_at,79682
218281_at,51642
201042_at,7052
206040_s_at,5600
202048_s_at,23466
219919_s_at,54961
204527_at,4644
220150_s_at,79632
216241_s_at,6917
204614_at,5055
202328_s_at,101930075
212034_s_at,23265
213748_at,9866
207133_x_at,80216
207355_at,6512
205802_at,7220
216347_s_at,23368
200638_s_at,7534
207734_at,54900
221173_at,10083
210433_at,23509
221336_at,474
204567_s_at,9619
222064_s_at,100885848
201158_at,4836
221359_at,2668
212852_s_at,6738
220220_at,474170
210821_x_at,1058
212632_at,8417
208881_x_at,3422
202183_s_at,3835
221325_at,56659
217487_x_at,219595
208170_s_at,11074
215698_at,5927
203093_s_at,10469
202961_s_at,101929716
213912_at,23329
203833_s_at,10618
216071_x_at,9968
209999_x_at,8651
220492_s_at,9381
205671_s_at,3112
200073_s_at,3184
205345_at,580
214264_s_at,90141
212900_at,10802
206918_s_at,8904
210802_s_at,27292
216349_at,160851
200092_s_at,6167
215090_x_at,440434
208030_s_at,118
216897_s_at,199870
207527_at,3765
207097_s_at,10246
204055_s_at,4253
214688_at,7091
221746_at,8266
204938_s_at,5350
212609_s_at,10000
212638_s_at,11059
219961_s_at,55857
211115_x_at,8487
219502_at,55247
201453_x_at,6009
204846_at,1356
209576_at,2770
217724_at,26135
218362_s_at,22894
212046_x_at,5595
201456_s_at,9184
212879_x_at,51588
201134_x_at,1350
201090_x_at,10376
211202_s_at,10765
215817_at,5275
211897_s_at,1394
204529_s_at,9760
210078_s_at,7881
221196_x_at,79184
206715_at,22797
218739_at,51099
214774_x_at,27324
201383_s_at,4077
208283_at,2543
210759_s_at,5682
215761_at,23312
205610_at,8736
210215_at,7036
210129_s_at,100526693
208005_at,9423
204786_s_at,3455
203004_s_at,4209
206579_at,7745
202673_at,8813
218720_x_at,26470
213131_at,10439
208020_s_at,775
205483_s_at,9636
218413_s_at,51193
210317_s_at,7531
218032_at,8303
212336_at,2036
206970_at,6900
210477_x_at,5599
210964_s_at,8908
221952_x_at,57570
202006_at,5782
215049_x_at,9332
207317_s_at,845
213494_s_at,7528
214733_s_at,54432
200962_at,6160
218379_at,10179
217601_at,23511
214196_s_at,1200
209373_at,7851
221437_s_at,64960
221743_at,10658
217274_x_at,4635
218643_s_at,9419
212232_at,23360
204453_at,7637
217408_at,28973
210959_s_at,6715
205893_at,22871
205527_s_at,50628
205289_at,650
220298_s_at,54558
207582_at,5301
218280_x_at,723790
211682_x_at,54490
210498_at,1213
215176_x_at,3514
202798_at,10427
215685_s_at,1746
203782_s_at,5442
208365_s_at,2868
211685_s_at,83988
205981_s_at,3622
37170_at,55589
214635_at,9080
217077_s_at,9568
200716_x_at,23521
205494_at,55565
202000_at,4700
200031_s_at,6205
205396_at,4088
211559_s_at,901
207899_at,2695
211588_s_at,5371
208451_s_at,100293534
209371_s_at,6452
201814_at,9779
219715_s_at,55775
64064_at,100527949
207155_at,6910
208867_s_at,1452
201768_s_at,9685
211008_s_at,7329
216513_at,1638
214174_s_at,8572
213471_at,261734
203941_at,55756
218613_at,23362
207877_s_at,4931
200925_at,1337
208308_s_at,2821
204903_x_at,23192
205518_s_at,8418
215020_at,9369
206606_at,3990
222169_x_at,10045
216488_s_at,23250
49329_at,84861
213013_at,644172
206623_at,5145
207629_s_at,9181
203906_at,9922
219694_at,54491
200744_s_at,2782
208140_s_at,83450
214455_at,8339
200963_x_at,6160
209735_at,9429
219892_at,53346
212114_at,552889
210006_at,25864
218825_at,51162
216317_x_at,6006
205357_s_at,185
216434_at,55020
217821_s_at,51729
206143_at,1811
213675_at,55742
220423_at,26279
217994_x_at,102465435
217046_s_at,177
207003_at,2980
207728_at,55729
221426_s_at,8392
207655_s_at,29760
216714_at,6357
213638_at,221692
222191_s_at,11285
211667_x_at,28673
221438_s_at,56158
219396_s_at,693216
215583_at,9725
215242_at,5279
212088_at,23203
212071_s_at,6711
211634_x_at,3507
212186_at,31
218462_at,80135
216239_at,27241
204685_s_at,491
209179_s_at,79143
205228_at,5939
214627_at,8288
204049_s_at,9749
200764_s_at,1495
45572_s_at,26088
203510_at,4233
222196_at,389906
212396_s_at,23065
218374_s_at,57102
205417_s_at,1605
219762_s_at,25873
213151_s_at,989
202063_s_at,6400
220581_at,80129
201416_at,6659
204928_s_at,8273
220663_at,11141
207430_s_at,4477
221586_s_at,1875
202338_at,7083
222116_s_at,125058
